CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C06889,Male,54.0,0,No,No,37,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer,67.75,2661.46,No
C00415,Female,46.0,0,Yes,No,16,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,52.25,978.53,No
C03600,Female,34.0,0,No,No,0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,53.07,41.96,No
C01028,Female,52.0,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,71.13,1437.955,No
C04489,Female,29.0,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.48,597.84,No
C02098,Female,18.0,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.19,1149.51,Yes
C04564,Female,18.0,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,73.7,3157.41,No
C06750,Female,62.0,0,Yes,Yes,44,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer,41.91,1906.26,No
C05316,Female,42.0,0,No,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,65.68,2248.59,Yes
C05750,Male,40.0,0,Yes,No,33,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card,51.86,1775.89,No
C02426,Female,37.0,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,82.59,2025.44,No
C03959,Male,77.0,1,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,30.51,2445.34,No
C03799,Male,34.0,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,72.46,996.81,Yes
C04183,Female,54.0,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,50.56,844.31,No
C01750,Male,67.0,1,No,No,37,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,51.25,2214.21,No
C03773,Female,49.0,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.04,3414.12,No
C04591,Female,40.0,0,No,No,0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,47.19,104.97,No
C06480,Female,64.0,0,Yes,No,14,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card,46.1,634.94,No
C02796,Female,49.0,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,70.91,1525.5,Yes
C00487,Male,60.0,0,Yes,No,0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,67.65,78.75,No
C05998,Female,53.0,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,71.97,2905.36,Yes
C04144,Male,33.0,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.37,526.92,No
C02356,Male,18.0,0,Yes,No,68,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer,61.1,4373.6,No
C02072,Male,49.0,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,67.31,927.31,No
C06417,Female,59.0,0,Yes,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,52.56,1620.18,No
C01302,Male,68.0,1,Yes,No,57,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,35.99,2014.07,No
C04767,Female,51.0,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card,98.25,4735.03,No
C04335,Female,41.0,0,No,No,6,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer,65.42,429.26,No
C02078,Female,52.0,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,63.41,2688.36,No
C04224,Male,24.0,0,Yes,No,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card,65.71,4460.43,No
C06902,Female,51.0,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,33.21,744.88,No
C04008,Female,63.0,0,No,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,59.54,1255.65,Yes
C01052,Female,40.0,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,68.28,2361.8,No
C03434,Female,38.0,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,78.55,3873.79,No
C04546,Male,22.0,0,No,No,10,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,69.04,719.17,Yes
C02613,Male,51.0,0,No,Yes,68,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,48.75,3831.06,No
C00969,Male,42.0,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.02,714.44,No
C02687,Female,41.0,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,68.65,5209.49,No
C01099,Male,26.0,0,No,No,38,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,67.63,2667.87,No
C07189,Male,54.0,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,18.0,628.95,No
C05390,Male,42.0,0,No,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.02,1736.29,No
C03294,Male,33.0,0,Yes,No,61,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card,75.64,4382.14,No
C02712,Male,45.0,0,No,No,25,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Credit card,50.95,1425.61,No
C03367,Male,33.0,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card,52.9,2017.67,No
C06217,Male,42.0,0,Yes,No,45,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card,44.25,1751.24,No
C00830,Female,32.0,0,No,No,0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.39,60.48,No
C01667,Male,34.0,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.43,1056.89,No
C01852,Female,49.0,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card,64.5,528.68,No
C00224,Female,33.0,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,29.21,1257.4,No
C07211,Male,46.0,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,61.64,2752.16,Yes
C00432,Female,51.0,0,Yes,Yes,31,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,71.96,2276.48,No
C06068,Male,32.0,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer,78.73,3366.92,No
C03500,Male,53.0,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,82.39,2063.78,Yes
C00987,Female,64.0,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,60.6,448.13,Yes
C05845,Female,43.0,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card,77.74,1328.89,No
C07181,Female,55.0,0,No,No,42,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,52.44,2122.42,No
C03852,Male,42.0,0,No,No,31,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.32,1878.28,Yes
C04322,Female,44.0,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer,79.71,3614.42,No
C03797,Female,42.0,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card,65.66,3684.27,No
C03314,Female,40.0,0,No,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,47.66,486.22,No
C01479,Male,18.0,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.91,55.85,No
C03923,Male,57.0,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,67.23,3585.39,Yes
C07167,Male,55.0,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,82.84,2838.66,No
C02697,Male,34.0,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,38.93,1616.99,No
C05407,Male,44.0,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card,78.95,4026.89,No
C05906,Male,40.0,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,62.18,548.26,No
C03080,Male,61.0,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,27.04,934.86,No
C02242,Male,62.0,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer,63.06,4026.32,No
C06175,Male,47.0,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,73.53,145.23,Yes
C05767,Female,30.0,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,48.2,220.43,No
C03785,Female,38.0,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,84.94,4451.51,No
C01882,Female,57.0,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,35.41,696.04,No
C04682,Male,38.0,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,62.78,2643.36,Yes
C03101,Female,67.0,1,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.31,926.73,No
C00443,Male,70.0,1,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,69.24,1963.06,No
C07156,Male,54.0,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Bank transfer,63.71,2411.15,No
C05990,Male,24.0,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,60.23,207.42,No
C03897,Female,40.0,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,71.09,3384.3,Yes
C04383,Male,34.0,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,25.95,1479.86,No
C01414,Female,33.0,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,101.2,2954.97,No
C05980,Male,45.0,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,18.0,1135.07,No
C05746,Male,36.0,0,No,Yes,30,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.71,2368.25,Yes
C04843,Male,47.0,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,51.45,114.15,Yes
C02881,Male,42.0,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer,72.05,3597.91,No
C01808,Male,23.0,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.55,542.99,No
C07202,Male,44.0,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer,62.4,2842.49,No
C01280,Male,56.0,0,Yes,No,30,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,56.49,1849.62,No
C07209,Male,18.0,0,No,No,7,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,58.32,576.57,No
C02388,Female,65.0,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,74.49,4700.8,No
C06247,Female,37.0,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,72.26,2727.98,No
C04773,Female,61.0,0,Yes,Yes,21,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.94,1848.67,Yes
C04964,Female,47.0,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,54.18,2444.97,No
C01807,Male,43.0,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.29,471.29,No
C00928,Male,39.0,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card,77.27,2102.12,No
C06226,Female,60.0,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,61.13,269.56,No
C02157,Male,31.0,0,Yes,Yes,0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,58.48,66.77,No
C06981,Female,46.0,0,No,No,22,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer,62.3,1424.46,No
C05768,Male,57.0,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,46.17,3422.66,No
C02096,Male,43.0,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,76.61,3979.35,No
C00918,Female,28.0,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.21,384.88,No
C06781,Male,42.0,0,No,No,27,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.46,2132.63,Yes
C02463,Female,29.0,0,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.01,1087.62,No
C02251,Female,34.0,0,Yes,No,15,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,71.72,1176.9,Yes
