Column name,Description,Expected data type,Possible values / range
CustomerID,Unique customer identifier,string,C00001–C07250+
Gender,Customer gender,categorical,"Male, Female"
Age,Customer age in years,integer,18–80
SeniorCitizen,Whether customer is a senior citizen,integer/binary,"0 = No, 1 = Yes"
Partner,Whether customer has a partner,categorical,"Yes, No"
Dependents,Whether customer has dependents,categorical,"Yes, No"
Tenure,Number of months with the company,integer,0–72
PhoneService,Whether customer has phone service,categorical,"Yes, No"
MultipleLines,Whether customer has multiple phone lines,categorical,"Yes, No, No phone service"
InternetService,Customer internet service type,categorical,"DSL, Fiber optic, No"
OnlineSecurity,Online security add-on,categorical,"Yes, No, No internet service"
OnlineBackup,Online backup add-on,categorical,"Yes, No, No internet service"
DeviceProtection,Device protection add-on,categorical,"Yes, No, No internet service"
TechSupport,Technical support add-on,categorical,"Yes, No, No internet service"
StreamingTV,Streaming TV service,categorical,"Yes, No, No internet service"
StreamingMovies,Streaming movies service,categorical,"Yes, No, No internet service"
Contract,Customer contract term,categorical,"Month-to-month, One year, Two year"
PaperlessBilling,Whether billing is paperless,categorical,"Yes, No"
PaymentMethod,Customer payment method,categorical,"Electronic check, Bank transfer, Credit card, Mailed check"
MonthlyCharges,Current monthly subscription charge,float,Approximately 18–125
TotalCharges,Approximate cumulative charges paid,float/string before cleaning,Non-negative; generally related to Tenure × MonthlyCharges
Churn,Whether the customer left the company,categorical/binary,"Yes, No"
